"n_pares","prob_teorica","freq_observada","diferenca"
0,0.0118603519584786,0.0127952755905512,0.00093492363207255
1,0.0853945341010461,0.0889107611548556,0.00351622705380951
2,0.238119373935609,0.238845144356955,0.000725770421345945
3,0.329251480009732,0.307742782152231,-0.0215086978575006
4,0.238119373935609,0.244094488188976,0.00597511425336694
5,0.0853945341010461,0.0951443569553806,0.00974982285433444
6,0.0118603519584786,0.0124671916010499,0.000606839642571237
