"maximo","prob_teorica","prob_teorica_pct","n","frequencia_relativa","frequencia_pct","diferenca_pct"
6,1.99744885831816e-08,1.99744885831816e-06,0,0,0,-1.99744885831816e-06
7,1.19846931499089e-07,1.19846931499089e-05,0,0,0,-1.19846931499089e-05
8,4.19464260246813e-07,4.19464260246813e-05,0,0,0,-4.19464260246813e-05
9,1.11857136065817e-06,0.000111857136065817,0,0,0,-0.000111857136065817
10,2.51678556148088e-06,0.000251678556148088,0,0,0,-0.000251678556148088
11,5.03357112296175e-06,0.000503357112296175,0,0,0,-0.000503357112296175
12,9.22821372542988e-06,0.000922821372542988,0,0,0,-0.000922821372542988
13,1.58197949578798e-05,0.00158197949578798,0,0,0,-0.00158197949578798
14,2.57071668065547e-05,0.00257071668065547,0,0,0,-0.00257071668065547
15,3.99889261435295e-05,0.00399889261435295,0,0,0,-0.00399889261435295
16,5.99833892152942e-05,0.00599833892152942,0,0,0,-0.00599833892152942
17,8.72485661313371e-05,0.0087248566131337,0,0,0,-0.0087248566131337
18,0.000123602135352728,0.0123602135352728,0,0,0,-0.0123602135352728
19,0.0001711414181807,0.01711414181807,0,0,0,-0.01711414181807
20,0.000232263353245235,0.0232263353245235,0,0,0,-0.0232263353245235
21,0.000309684470993647,0.0309684470993647,0,0,0,-0.0309684470993647
22,0.000406460868179162,0.0406460868179162,3,0.000984251968503937,0.0984251968503937,0.0577791100324775
23,0.000526008182349503,0.0526008182349503,0,0,0,-0.0526008182349503
24,0.000672121566335476,0.0672121566335476,2,0.000656167979002625,0.0656167979002625,-0.00159535873328517
25,0.000848995662739549,0.0848995662739549,3,0.000984251968503937,0.0984251968503937,0.0135256305764388
26,0.00106124457842444,0.106124457842444,1,0.000328083989501312,0.0328083989501312,-0.0733160588923124
27,0.00131392185900168,0.131392185900168,4,0.00131233595800525,0.131233595800525,-0.000158590099643363
28,0.00161254046332025,0.161254046332025,7,0.00229658792650919,0.229658792650919,0.0684047463188939
29,0.00196309273795508,0.196309273795508,6,0.00196850393700787,0.196850393700787,0.000541119905278997
30,0.00237207039169573,0.237207039169573,8,0.0026246719160105,0.26246719160105,0.0252601524314773
31,0.00284648447003487,0.284648447003487,6,0.00196850393700787,0.196850393700787,-0.0877980533026997
32,0.00339388532965696,0.339388532965696,12,0.00393700787401575,0.393700787401575,0.0543122544358786
33,0.00402238261292677,0.402238261292677,11,0.00360892388451444,0.360892388451444,-0.0413458728412334
34,0.00474066522237798,0.474066522237798,18,0.00590551181102362,0.590551181102362,0.116484658864564
35,0.00555802129520177,0.555802129520177,20,0.00656167979002625,0.656167979002625,0.100365849482448
36,0.0064843581777354,0.64843581777354,19,0.00623359580052493,0.623359580052493,-0.0250762377210462
37,0.00753022239995078,0.753022239995078,26,0.00853018372703412,0.853018372703412,0.0999961327083337
38,0.00870681964994309,0.870681964994309,27,0.00885826771653543,0.885826771653543,0.0151448066592339
39,0.0100260347484193,1.00260347484193,28,0.00918635170603675,0.918635170603675,-0.0839683042382574
40,0.0115004516231869,1.15004516231869,22,0.00721784776902887,0.721784776902887,-0.428260385415799
41,0.0131433732836421,1.31433732836421,33,0.0108267716535433,1.08267716535433,-0.231660163009882
42,0.0149688417952591,1.49688417952591,43,0.0141076115485564,1.41076115485564,-0.0861230246702664
43,0.0169916582540779,1.69916582540779,48,0.015748031496063,1.5748031496063,-0.12436267580149
44,0.0192274027611934,1.92274027611934,69,0.0226377952755906,2.26377952755906,0.341039251439715
45,0.0216924543972438,2.16924543972438,71,0.0232939632545932,2.32939632545932,0.160150885734934
46,0.0244040111968993,2.44040111968993,60,0.0196850393700787,1.96850393700787,-0.471897182682058
47,0.0273801101233505,2.73801101233505,86,0.0282152230971129,2.82152230971129,0.0835112973762406
48,0.0306396470427969,3.06396470427969,104,0.0341207349081365,3.41207349081365,0.348108786533954
49,0.0342023966989361,3.42023966989361,126,0.0413385826771654,4.13385826771654,0.713618597822924
50,0.0380890326874516,3.80890326874516,126,0.0413385826771654,4.13385826771654,0.324954998971378
51,0.0423211474305018,4.23211474305018,134,0.0439632545931759,4.39632545931759,0.16421071626741
52,0.0469212721512085,4.69212721512085,144,0.047244094488189,4.7244094488189,0.0322822336980497
53,0.0519128968481455,5.19128968481455,184,0.0603674540682415,6.03674540682415,0.845455722009592
54,0.0573204902698274,5.73204902698274,192,0.062992125984252,6.2992125984252,0.567163571442459
55,0.0631695198891975,6.31695198891975,160,0.05249343832021,5.249343832021,-1.06760815689875
56,0.0694864718781173,6.94864718781173,227,0.0744750656167979,7.44750656167979,0.498859373868063
57,0.0762988710818542,7.62988710818543,206,0.0675853018372703,6.75853018372703,-0.871356924458391
58,0.083635300993571,8.3635300993571,251,0.0823490813648294,8.23490813648294,-0.128621962874162
59,0.0915254237288136,9.15254237288136,266,0.0872703412073491,8.72703412073491,-0.425508252146448
60,0.1,10,295,0.0967847769028871,9.67847769028871,-0.321522309711286
