"dezena","n","frequencia_relativa","frequencia_pct","diferenca_pct"
1,297,0.0974409448818898,9.74409448818898,-0.255905511811025
2,304,0.0997375328083989,9.9737532808399,-0.0262467191601057
3,282,0.0925196850393701,9.25196850393701,-0.748031496062992
4,321,0.105314960629921,10.5314960629921,0.531496062992125
5,332,0.108923884514436,10.8923884514436,0.89238845144357
6,310,0.101706036745407,10.1706036745407,0.170603674540681
7,285,0.093503937007874,9.3503937007874,-0.649606299212599
8,301,0.098753280839895,9.8753280839895,-0.124671916010499
9,292,0.0958005249343832,9.58005249343832,-0.41994750656168
10,356,0.116797900262467,11.6797900262467,1.67979002624672
11,321,0.105314960629921,10.5314960629921,0.531496062992125
12,283,0.0928477690288714,9.28477690288714,-0.715223097112862
13,311,0.102034120734908,10.2034120734908,0.203412073490813
14,299,0.0980971128608924,9.80971128608924,-0.190288713910762
15,274,0.0898950131233596,8.98950131233596,-1.01049868766404
16,316,0.103674540682415,10.3674540682415,0.36745406824147
17,324,0.106299212598425,10.6299212598425,0.62992125984252
18,291,0.0954724409448819,9.54724409448819,-0.452755905511812
19,295,0.0967847769028871,9.67847769028871,-0.321522309711286
20,295,0.0967847769028871,9.67847769028871,-0.321522309711286
21,258,0.0846456692913386,8.46456692913386,-1.53543307086614
22,275,0.0902230971128609,9.02230971128609,-0.977690288713912
23,320,0.10498687664042,10.498687664042,0.498687664041994
24,306,0.100393700787402,10.0393700787402,0.0393700787401571
25,298,0.0977690288713911,9.77690288713911,-0.223097112860893
26,250,0.0820209973753281,8.20209973753281,-1.79790026246719
27,328,0.10761154855643,10.761154855643,0.761154855643044
28,313,0.102690288713911,10.2690288713911,0.269028871391075
29,300,0.0984251968503937,9.84251968503937,-0.15748031496063
30,324,0.106299212598425,10.6299212598425,0.62992125984252
31,284,0.0931758530183727,9.31758530183727,-0.68241469816273
32,325,0.106627296587927,10.6627296587927,0.66272965879265
33,327,0.107283464566929,10.7283464566929,0.728346456692913
34,323,0.105971128608924,10.5971128608924,0.597112860892388
35,321,0.105314960629921,10.5314960629921,0.531496062992125
36,308,0.101049868766404,10.1049868766404,0.10498687664042
37,329,0.107939632545932,10.7939632545932,0.793963254593175
38,323,0.105971128608924,10.5971128608924,0.597112860892388
39,292,0.0958005249343832,9.58005249343832,-0.41994750656168
40,289,0.0948162729658793,9.48162729658793,-0.518372703412075
41,311,0.102034120734908,10.2034120734908,0.203412073490813
42,326,0.106955380577428,10.6955380577428,0.695538057742781
43,320,0.10498687664042,10.498687664042,0.498687664041994
44,321,0.105314960629921,10.5314960629921,0.531496062992125
45,299,0.0980971128608924,9.80971128608924,-0.190288713910762
46,319,0.104658792650919,10.4658792650919,0.465879265091863
47,290,0.0951443569553806,9.51443569553806,-0.485564304461943
48,282,0.0925196850393701,9.25196850393701,-0.748031496062992
49,309,0.101377952755906,10.1377952755906,0.137795275590551
50,299,0.0980971128608924,9.80971128608924,-0.190288713910762
51,307,0.100721784776903,10.0721784776903,0.0721784776902878
52,307,0.100721784776903,10.0721784776903,0.0721784776902878
53,346,0.113517060367454,11.3517060367454,1.35170603674541
54,317,0.104002624671916,10.4002624671916,0.400262467191601
55,261,0.0856299212598425,8.56299212598425,-1.43700787401575
56,318,0.104330708661417,10.4330708661417,0.433070866141731
57,288,0.094488188976378,9.44881889763779,-0.551181102362205
58,299,0.0980971128608924,9.80971128608924,-0.190288713910762
59,292,0.0958005249343832,9.58005249343832,-0.41994750656168
60,295,0.0967847769028871,9.67847769028871,-0.321522309711286
