"minimo","prob_teorica","prob_teorica_pct","n","frequencia_relativa","frequencia_pct","diferenca_pct"
1,0.1,10,297,0.0974409448818898,9.74409448818898,-0.255905511811024
2,0.0915254237288136,9.15254237288136,277,0.0908792650918635,9.08792650918635,-0.0646158636950052
3,0.083635300993571,8.3635300993571,234,0.0767716535433071,7.67716535433071,-0.686364745026392
4,0.0762988710818542,7.62988710818543,255,0.0836614173228346,8.36614173228346,0.73625462409804
5,0.0694864718781173,6.94864718781173,220,0.0721784776902887,7.21784776902887,0.269200581217145
6,0.0631695198891975,6.31695198891975,193,0.0633202099737533,6.33202099737533,0.0150690084555754
7,0.0573204902698274,5.73204902698274,183,0.0600393700787402,6.00393700787402,0.271887980891278
8,0.0519128968481455,5.19128968481455,170,0.0557742782152231,5.57742782152231,0.386138136707755
9,0.0469212721512085,4.69212721512085,147,0.0482283464566929,4.82283464566929,0.130707430548443
10,0.0423211474305018,4.23211474305018,160,0.05249343832021,5.249343832021,1.01722908897082
11,0.0380890326874516,3.80890326874516,108,0.0354330708661417,3.54330708661417,-0.265596182130985
12,0.0342023966989361,3.42023966989361,95,0.0311679790026247,3.11679790026247,-0.303441769631145
13,0.0306396470427969,3.06396470427969,80,0.026246719160105,2.6246719160105,-0.439292788269195
14,0.0273801101233505,2.73801101233505,82,0.0269028871391076,2.69028871391076,-0.0477222984242847
15,0.0244040111968993,2.44040111968993,69,0.0226377952755906,2.26377952755906,-0.176621592130877
16,0.0216924543972438,2.16924543972438,65,0.0213254593175853,2.13254593175853,-0.0366995079658539
17,0.0192274027611934,1.92274027611934,65,0.0213254593175853,2.13254593175853,0.20980565563919
18,0.0169916582540779,1.69916582540779,41,0.0134514435695538,1.34514435695538,-0.354021468452409
19,0.0149688417952591,1.49688417952591,42,0.0137795275590551,1.37795275590551,-0.118931423620398
20,0.0131433732836421,1.31433732836421,47,0.0154199475065617,1.54199475065617,0.227657422291955
21,0.0115004516231869,1.15004516231869,29,0.00951443569553806,0.951443569553806,-0.198601592764881
22,0.0100260347484193,1.00260347484193,30,0.00984251968503937,0.984251968503937,-0.0183515063379949
23,0.00870681964994309,0.870681964994309,30,0.00984251968503937,0.984251968503937,0.113570003509628
24,0.00753022239995078,0.753022239995078,17,0.00557742782152231,0.557742782152231,-0.195279457842847
25,0.0064843581777354,0.64843581777354,23,0.00754593175853018,0.754593175853018,0.106157358079479
26,0.00555802129520177,0.555802129520177,16,0.005249343832021,0.5249343832021,-0.0308677463180771
27,0.00474066522237798,0.474066522237798,13,0.00426509186351706,0.426509186351706,-0.0475573358860918
28,0.00402238261292677,0.402238261292677,12,0.00393700787401575,0.393700787401575,-0.00853747389110221
29,0.00339388532965696,0.339388532965696,11,0.00360892388451444,0.360892388451444,0.0215038554857473
30,0.00284648447003487,0.284648447003487,8,0.0026246719160105,0.26246719160105,-0.0221812554024373
31,0.00237207039169573,0.237207039169573,7,0.00229658792650919,0.229658792650919,-0.00754824651865399
32,0.00196309273795508,0.196309273795508,3,0.000984251968503937,0.0984251968503937,-0.0978840769451147
33,0.00161254046332025,0.161254046332025,5,0.00164041994750656,0.164041994750656,0.00278794841863145
34,0.00131392185900168,0.131392185900168,2,0.000656167979002625,0.0656167979002625,-0.0657753879999058
35,0.00106124457842444,0.106124457842444,3,0.000984251968503937,0.0984251968503937,-0.00769926099204993
36,0.000848995662739549,0.0848995662739549,1,0.000328083989501312,0.0328083989501312,-0.0520911673238237
37,0.000672121566335476,0.0672121566335476,1,0.000328083989501312,0.0328083989501312,-0.0344037576834164
38,0.000526008182349503,0.0526008182349503,1,0.000328083989501312,0.0328083989501312,-0.0197924192848191
39,0.000406460868179162,0.0406460868179162,1,0.000328083989501312,0.0328083989501312,-0.00783768786778492
40,0.000309684470993647,0.0309684470993647,0,0,0,-0.0309684470993647
41,0.000232263353245235,0.0232263353245235,2,0.000656167979002625,0.0656167979002625,0.0423904625757389
42,0.0001711414181807,0.01711414181807,0,0,0,-0.01711414181807
43,0.000123602135352728,0.0123602135352728,1,0.000328083989501312,0.0328083989501312,0.0204481854148585
44,8.72485661313371e-05,0.0087248566131337,0,0,0,-0.0087248566131337
45,5.99833892152942e-05,0.00599833892152942,0,0,0,-0.00599833892152942
46,3.99889261435295e-05,0.00399889261435295,1,0.000328083989501312,0.0328083989501312,0.0288095063357783
47,2.57071668065547e-05,0.00257071668065547,0,0,0,-0.00257071668065547
48,1.58197949578798e-05,0.00158197949578798,0,0,0,-0.00158197949578798
49,9.22821372542988e-06,0.000922821372542988,0,0,0,-0.000922821372542988
50,5.03357112296175e-06,0.000503357112296175,1,0.000328083989501312,0.0328083989501312,0.0323050418378351
51,2.51678556148088e-06,0.000251678556148088,0,0,0,-0.000251678556148088
52,1.11857136065817e-06,0.000111857136065817,0,0,0,-0.000111857136065817
53,4.19464260246813e-07,4.19464260246813e-05,0,0,0,-4.19464260246813e-05
54,1.19846931499089e-07,1.19846931499089e-05,0,0,0,-1.19846931499089e-05
55,1.99744885831816e-08,1.99744885831816e-06,0,0,0,-1.99744885831816e-06
